LBL	184185310	1114159.4	0	0	20745962	423042700	28399082	27482982	3570278.3	4412787	0	0	0	0	1695376.5	4124118.8	283206	911416.5	18321588	24842254	367744.53	10638343	9850316	2708837.3	820038.9	7552250	13139316
NKL	268560700	1624556.5	0	0	20042224	308576700	41436284	40099628	5209289.5	5718409	0	0	0	0	2204434.3	5362437	364171.53	1167841.8	23822872	32546106	470659.6	13832636	12807997	3522199	1066265.8	8377700	16735742
RCO	424861340	2570038.5	0	0	35580580	44060828	65507056	63393936	8235420.5	8038898	0	0	0	0	3084656.8	7503636.5	517390.5	1667217.9	33335250	45072428	672985	19355956	17922180	4928599.5	1492021.5	12193350	23512380
RCQ	140229440	848264.94	0	0	3799382.3	902923.56	21649558	20951182	2721740.8	928874.44	0	0	0	0	357302.53	869162.8	59449.5	191080.58	3861295	5249746.5	77066.586	2242042.5	2075965.3	570890.44	172824.1	1637300	2781276.8
RCR	117530750	710958	0	0	7499568	32638952	18131810	17546916	2279496.3	1667988.4	0	0	0	0	635572.25	1546072.6	109048.5	353867.94	6868499.5	9139988	143169.3	3988161.5	3692742	1015504	307420.78	2793000	4907428
SNA	303792130	1837675.8	0	0	41414050	138126510	46786816	45277572	5881949.5	12399839	0	0	0	0	4771550.5	11607121	792924	2547582.3	51565172	70166370	1027356.7	29941068	27723212	7623883	2307957.3	17188500	35974030
WAA	278775700	1686348.1	0	0	29615420	20151776	42969920	41583796	5402094.5	6577568	0	0	0	0	2531427.3	6157870	420486	1350793.8	27356618	37235836	544706.56	15884488	14707859	4044661.3	1224429.3	9818350	19260830
DOP	170268820	1029976.75	0	0	19208652	-20527462	31278022	30269048	3932213	7789065	0	0	0	0	3008313.3	7317928.5	493894.5	1580679.4	32510228	44599476	636618.8	18876906	17478616	4806620.5	1455095	10113650	22517672
KYE	46919290	283820.5	0	0	2107396	144893070	8635741	8357167.5	1085668.6	587133	0	0	0	0	225822.61	549328.94	37587.004	120824.83	2440419	3317127.3	48732.895	1417017.8	1312053.4	360814.66	109228.44	927750	1730972.8
MLK	208317280	1260136.9	0	0	15862738	314986370	38329424	37092990	4818701.5	3349483	0	0	0	0	1282523.5	3119826.3	216612	699514.2	13859972	18650210	282564.6	8047725	7451598	2049189.3	620345.5	5858500	9968871
NOH	234245440	1416979.1	0	0	28203130	2234377500	43172030	41779388	5427504.5	7049609.5	0	0	0	0	2715044	6604529.5	449922	1444267.8	29340924	40000680	582255.3	17036666	15774692	4338040.5	1313243.1	10386900	20625172
PJA	163360260	988186	0	0	17766530	404786340	30084986	29114498	3782226.3	5086455	0	0	0	0	1964025.5	4777626.5	322707.03	1033073.25	21224828	29101864	416106.34	12324094	11411198	3138079.3	949982.2	7251900	14862776
PJB	206610060	1249809.3	0	0	14782353	60988316	38066536	36838580	4785650.5	4089547	0	0	0	0	1571655.1	3823158.3	262284	843826	16984558	23044688	340438.25	9862002	9131482	2511157.8	760195.94	5987850	11927485
SRA	184353440	1115176.5	0	0	18802860	49292348	33857190	32765032	4256460.5	7188314.5	0	0	0	0	2760974	6716256.5	461620.5	1486009.5	29837282	40431710	599640.6	17324872	16041550	4411426.5	1335459	9371900	20663488
SRB	122167570	739006.44	0	0	7874640	54332204	22473386	21748442	2825311	2106649.5	0	0	0	0	811844.25	1974866.9	134260.5	430700.97	8773435	11977340	173599.38	5094253	4716901	1297147.8	392681.97	3360800	6231952.5
SRD	85711704	518480.6	0	0	7588429.5	90882920	15763452	15254953	1981750.6	2087769.5	0	0	0	0	803051.3	1953477.1	133633.5	429539.06	8678412	11797901	173244.13	5039078.5	4665813	1283098.6	388428.97	3234950	6139544.5
SRE	296685150	1794684.5	0	0	36893204	481016930	54503220	52745044	6852038	12308734	0	0	0	0	4756033	11569377	779674.56	2494106.5	51397490	70579544	1004342.3	29843700	27633060	7599091	2300452	17731400	36039396
TDA	269796740	1632032.9	0	0	18641046	167475660	49624240	48023468	6238663.5	5167565	0	0	0	0	1992473.6	4846827.5	328944.03	1054655	21532256	29429454	425014.5	12502600	11576481	3183532.3	963742.1	7878250	15203862
TLA	62064310	375434.53	0	0	8919466	-1928779.6	11397995	11030317	1432933.6	3249475.8	0	0	0	0	1255524.1	3054148	205854	658540.25	13568194	18630108	265189.34	7878306	7294728.5	2006050.1	607286.06	4224050	9399392
WAM	182218190	1102259.9	0	0	18645136	63626556	33519080	32437824	4213955	4632300	0	0	0	0	1788478.1	4350594.5	293964	941163.5	19327716	26494612	379100.34	11222546	10391246	2857592.8	865071.25	7190650	13680995
WIA	174499570	1055569.3	0	0	19832252	122063930	32108568	31072806	4036627	6232267.5	0	0	0	0	2400671.8	5839798	397600.5	1276082.6	25943568	35382588	514420.84	15064008	13948154	3835742.5	1161183.9	8706750	18118116
ARA	372814460	2255200.3	0	0	30067942	50083348	27388322	26504832	3443207.8	13335518	0	0	0	0	5154508	12538691	844057.5	2699087.8	55703716	76549420	1086755.4	32344090	29948232	8235764	2493190	17201400	38556970
ARB	188567580	1140668.3	0	0	10234250	19797038	13866860	13419540	1743314.9	3699647.8	0	0	0	0	1423830.5	3463565.8	236511	759785.5	15387049	20943508	306383.4	8934416	8272608.5	2274967	688694.5	5028000	10709643
SKW	717839400	4342298.5	0	0	29108046	227988500	52830860	51126628	6641794.5	11689116	0	0	0	0	4519452.5	10993876	739348.56	2363509.3	48840800	67161384	951539.3	28359176	26258496	7221087	2186019.8	16141250	34074016
WNA	542095400	3279201.5	0	0	28779926	233094850	39887828	38601124	5014620.5	12079508	0	0	0	0	4672759	11366807	763141.56	2438233.5	50497556	69516950	981444.7	29321164	27149226	7466037.5	2260173.3	16407750	35163390
WYA	285633820	1727833.6	0	0	25436290	167597170	21034082	20355568	2644364.8	9290666	0	0	0	0	3593196.8	8740697	587235	1876633.6	38830948	53431920	755444.2	22547004	20876856	5741135	1737998.1	12856750	27098288
BAK	245982420	1487977.8	0	0	30440108	229747020	39748100	38465900	4997054.5	6886122.5	0	0	0	0	2609632	6348108.5	455614.5	1486279	28201766	37055624	602349.06	16375219	15162241	4169615.5	1262256.5	11292950	20081988
BAP	228606200	1382867.1	0	0	33970876	315315870	36916876	35726012	4641119.5	7517657	0	0	0	0	2877040	6998597.5	486733.5	1572649	31091586	41788360	635370.7	18053180	16715908	4596874	1391599.3	55686400	21971484
BGR	121396320	734341.2	0	0	9517263	-12008999	19615522	18982764	2466025.8	2017472.9	0	0	0	0	766948.56	1865655	132577.5	431198.84	8288258.5	10969890	174584.83	4812537	4456053	1225414.5	370966.4	2997700	5825505
BWA	291675520	1764380.6	0	0	14555579	43664020	47137204	45616652	5925998	3501501.3	0	0	0	0	1340246.5	3260241	226627.5	732125.6	14483770	19473594	295773.2	8409932	7786973.5	2141417.8	648265.5	5593800	10284412
BWB	231879460	1402666.8	0	0	21315438	-56016444	37442980	36235148	4707258.5	4930854.5	0	0	0	0	1891510.4	4601227	317559.03	1023588.1	20441166	27620648	413218.6	11869064	10989875	3022215.3	914907.06	6896450	14271510
CCA	340888770	2062077.5	0	0	43047410	169124480	55052020	53276156	6921035.5	7725484.5	0	0	0	0	2946349	7167194	504075	1634318	31840596	42457520	661030.56	18488088	17118600	4707615	1425123.4	11401100	22366662
CCB	251652800	1522278.5	0	0	25792336	230356400	40658610	39347044	5111522	5054199	0	0	0	0	1918302.5	4666402	333300.03	1085700.1	20730706	27336146	439799.6	12037185	11145542	3065024	927866.25	7928200	14673451
FYU	188631140	1141052.8	0	0	22866310	223425620	30451240	29468936	3828270.3	5554935	0	0	0	0	2146194.3	5220764	351945.03	1125954.8	23193484	31842836	453421.88	13467184	12469616	3429144.3	1038095.44	8036350	16271445
KWA	285267070	1725615.3	0	0	22512116	140023470	46072770	44586550	5792179.5	6158330	0	0	0	0	2353086.3	5724042.5	400141.5	1294925.8	25429324	34054850	523438.63	14765414	13671680	3759711.8	1138167.3	8633550	17752240
KWB	254555500	1539837.5	0	0	19869736	150720420	41116604	39790264	5169100	3466580	0	0	0	0	1334350	3245897.8	221529	711535.06	14420049	19634430	286910.38	8372932	7752715	2131996.5	645413.44	5388150	10206278
PHA	247225470	1495497	0	0	32484208	84708856	39908204	38620844	5017182.5	9265988	0	0	0	0	3547887.3	8630479	599263.56	1935269.6	38341300	51590140	781746.25	22262690	20613600	5668740.5	1716082.3	13505650	26900702
SNK	216856640	1311792.3	0	0	30545332	603828030	35028748	33898796	4403747.5	10261695	0	0	0	0	3978636.3	9678305	644853.06	2055178.9	42996316	59486536	826571.94	24965604	23116298	6356982.5	1924431.9	14917450	30192100
APA	308743500	1867627.1	0	0	13090273	30756650	56179348	54367108	7062760.5	3988352.8	0	0	0	0	1525932	3711933.3	258390	835100.94	16490435	22149692	337422.78	9575093	8865827	2438102	738080	6185550	11662279
BBA	419691940	2538768.3	0	0	17440780	769432060	76392570	73928290	9603925	3797532.5	0	0	0	0	1457864.6	3546354.8	244150.5	786358.06	15754845	21324744	317368.7	9147976	8470347	2329345.5	705156.4	7432050	11531554
BBB	324973440	1965804.3	0	0	26185892	97471976	59101876	57195364	7430173.5	6090812.5	303593540	65342816	522986340	369108.4	2328466.3	5664152	395307	1278633.5	25163256	33737470	516767.63	14610925	13528635	3720374	1126258.9	55624052	17789802
